id,name,email,age,score,active,timestamp,category,value1,value2,description
584702,User_e5yq7p,userttnokk@example.com,96,59.67,true,2025-10-15T17:19:41.898Z,Category1,211.61,765.56,"Description with some text content 0.08020550346287958"
772574,User_i7iglq,user1drg1l@example.com,76,80.13,false,2025-10-15T17:19:41.898Z,Category1,773.85,857.40,"Description with some text content 0.5627310290076809"
690631,User_45v1bk,userlraji@example.com,57,21.20,true,2025-10-15T17:19:41.898Z,Category8,924.19,447.78,"Description with some text content 0.454001851517726"
241266,User_ut1t9q,user5o672@example.com,73,10.39,false,2025-10-15T17:19:41.898Z,Category8,954.29,903.79,"Description with some text content 0.8227865844577981"
871061,User_ykw5rk,user2qh31h@example.com,27,38.51,true,2025-10-15T17:19:41.898Z,Category5,182.40,252.98,"Description with some text content 0.9734990142323058"
176089,User_ode2c,userewclsr@example.com,40,86.89,false,2025-10-15T17:19:41.898Z,Category5,528.66,800.03,"Description with some text content 0.003860785576342063"
936697,User_ce8ul,useramkeif@example.com,68,84.04,false,2025-10-15T17:19:41.898Z,Category4,225.45,160.70,"Description with some text content 0.41841252126029804"
236313,User_dxkhmq,user6r815h@example.com,32,12.25,true,2025-10-15T17:19:41.898Z,Category8,266.62,309.93,"Description with some text content 0.8760412437025092"
660347,User_81fl4,userxrwfs@example.com,31,16.84,false,2025-10-15T17:19:41.898Z,Category9,626.62,359.59,"Description with some text content 0.9865474642465861"
509881,User_5xn02l,userboprir@example.com,22,9.66,true,2025-10-15T17:19:41.898Z,Category6,262.65,294.14,"Description with some text content 0.09546124297317471"
934275,User_cysx1m,userbm3v74@example.com,59,44.69,true,2025-10-15T17:19:41.898Z,Category5,983.63,619.24,"Description with some text content 0.6382672790618015"
914360,User_y0dfgi,useri2i4ke@example.com,28,2.38,false,2025-10-15T17:19:41.898Z,Category7,361.42,287.27,"Description with some text content 0.022185987058542578"
260731,User_rvcqvk,userg5nd4@example.com,75,2.19,true,2025-10-15T17:19:41.898Z,Category4,188.66,217.42,"Description with some text content 0.9484429740211558"
252177,User_9m8gfo,user8cyjvd@example.com,58,46.86,false,2025-10-15T17:19:41.898Z,Category4,147.01,410.31,"Description with some text content 0.9474671451824921"
255477,User_la9e5o,userexnuj4@example.com,93,97.19,true,2025-10-15T17:19:41.898Z,Category5,808.73,582.48,"Description with some text content 0.05339249167723081"
854303,User_g5ikdk,user17ner8@example.com,33,7.14,false,2025-10-15T17:19:41.898Z,Category9,35.50,719.70,"Description with some text content 0.5197655927237684"
